Product name;Vendor;Type;Amount of pills;Days of usage ;Product type;Delivery frequency every [number] month;Product description
Mucomyst;Viatris;Lægemiddel;25;;tabletter;;"{""type"":""root"",""children"":[{""type"":""heading"",""children"":[{""type"":""text"",""value"":""Dosering:"",""bold"":true}],""level"":3},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Voksne: 200 mg 3 gange daglig. eller 600 mg 1 gang daglig. Børn over 5 år. 200 mg 2 gange daglig. Brusetabletterne opløses i et glas vand og tages i forbindelse med et måltid. Bør ikke anvendes til børn under 5 år uden lægens anvisning.""}]},{""type"":""heading"",""children"":[{""type"":""text"",""value"":""Graviditet og amning:"",""bold"":true}],""level"":3},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Bør ikke anvendes, utilstrækkelige data.""}]},{""type"":""heading"",""children"":[{""type"":""text"",""value"":""Mulige bivirkninger:"",""bold"":true}],""level"":3},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Meget almindelige (>10%): Kvalme, diarré.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Ikke almindelige (0,1-1%:) Abdominal smerter, bronkospasme.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Sjældne (0,01-0,1%): Urticaria, angioødem. Indholdet af natrium i brusetabletterne kan forværre tendens til væskeophobning i kroppen.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""OBS"",""bold"":true},{""type"":""text"",""value"":""\nBør ikke anvendes hvis du for nyligt har haft blod i opspyttet, idet midlet kan opløse størknet blod, så det begynder at bløde igen.""}]},{""type"":""heading"",""children"":[{""type"":""text"",""value"":""Indholdsstoffer:"",""bold"":true}],""level"":3},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Brusetabletter a 200 mg acetylcystein. Hjælpestoffer: Natriumhydrogencarbonat og smagsstoffer: citron og saccharinnatrium. Natriumindhold pr. brusetabl.: 4,3 mmol (svarende til ca. 250 mg natriumchlorid). Før brug bør du læse brugsvejledningen, som er i pakningen. Alternativt kan du finde den på ""},{""type"":""link"",""url"":""http://xnet.dkma.dk/indlaegsseddel/PdfFileServlet?formulationid=10813&lang=da"",""title"":null,""target"":null,""children"":[{""type"":""text"",""value"":""indlægsseddel.dk her""}]},{""type"":""text"",""value"":"". Er du i tvivl, kontakt egen læge.""}]},{""type"":""heading"",""children"":[{""type"":""text"",""value"":""Ingen fortrydelsesret på lægemidler:"",""bold"":true}],""level"":3},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Når du handler på Internettet, har du 14 dages fortrydelsesret. De 14 dage løber fra det tidspunkt du har fået varen i hånden. Dette gælder dog ikke for medicin. Jf. Forbrugeraftaleloven § 18, stk. 2., nr. 4 og 5 er der ikke fortrydelsesret ved køb af lægemidler. Dvs. at recept- og håndkøbsmedicin ikke kan returneres.""}]},{""type"":""heading"",""children"":[{""type"":""text"",""value"":""""},{""url"":""https://laegemiddelstyrelsen.dk/da/apoteker/koeb-og-salg-af-medicin-paa-internettet/detailforhandlere-der-lovligt-saelger-medicin-paa-nettet/"",""type"":""link"",""children"":[{""type"":""text"",""value"":""Klik her for at se, om dette websted drives på lovlig vis.""}]},{""type"":""text"",""value"":""""}],""level"":3}]}"
Pamol;Orifarm Healthcare;Lægemiddel;10;;tabletter;;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""OBS 18 år"",""bold"":true}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Pamol®-tabletter 500 mg 10 stk""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Dosering: \n"",""bold"":true},{""type"":""text"",""value"":""Voksne: 1-2 tabletter (1gram) højst 3-4 gange i døgnet. Børn og unge: Sædvanligvis op til 45 mg pr. kg legemsvægt i døgnet fordelt på 3-4 doser. Maksimal døgndosis på 4 gram må ikke overskrides. Pamol®-tabletter bør ikke anvendes til børn under 4 år.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Graviditet og amning:\n"",""bold"":true},{""type"":""text"",""value"":""Kan anvendes""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Mulige bivirkninger:\n"",""bold"":true},{""type"":""text"",""value"":""Sjældne (0,01-0,1%): Påvirkning af leverens funktion, nældefeber, allergiske reaktioner. Meget sjældne (under 0,01%): Muskelsammentrækninger i luftrørene, øget tendens til infektioner pga. mangel på hvide blodlegemer, øget tendens til blødning pga. fald i antallet af blodplader. Alvorlig allergisk tilstand med hurtigt blodtryksfald, åndedrætsbesvær og evt. kramper (anafylaktisk chok). Ved langtidsbehandling er der risiko for nyreskade.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Samtidig anvendelse af andre lægemidler:"",""bold"":true},{""type"":""text"",""value"":""\nRegelmæssig indtagelse af Pamol® i mere end 5 dage kan øge den blodfortyndende virkning af warfarin.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""OBS!\n"",""bold"":true},{""type"":""text"",""value"":""Pamol®-tabletter bør ikke anvendes til børn under 2 år uden lægens anvisning. Må ikke anvendes ved meget dårligt fungerende lever og nyrer Ved indtagelse af selv en beskeden overdosis (10-15 g) kan der optræde livsfarlige forgiftningssymptomer, som sædvanligvis først ses 1-3 døgn efter indtagelsen. Hvis man samtidig drikker alkohol eller har en leversygdom, forværres forgiftningssymptomerne. Ved mistanke om overdosering bør man hurtigst muligt søge skadestue, hvor behandling kan sættes i gang.""},{""type"":""text"",""value"":""\n"",""bold"":true}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Indholdsstoffer:\n"",""bold"":true},{""type"":""text"",""value"":""Aktivt indholdsstof: Paracetamol Øvrige indholdsstoffer: Hypromellose (E464), kartoffelstivelse, magnesiumstearat (E470b), mikrokrystallinsk cellulose (E460), povidon (E1201), propylenglycol (E1520), talkum (553b). Før brug bør du læse brugsvejledningen, som er i pakningen. Alternativt kan du finde den på ""},{""type"":""link"",""url"":""https://www.indlaegssedler.dk/resource/Pdf/Indlaegsseddel/54481da5-325d-4679-b094-bd4078cd45c1"",""title"":""indlaegssedler.dk"",""target"":""_blank"",""children"":[{""type"":""text"",""value"":""indlægsseddel.dk""}]},{""type"":""text"",""value"":"". Er du i tvivl, kontakt egen læge.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Ingen fortrydelsesret på lægemidler\n"",""bold"":true},{""type"":""text"",""value"":""Når du handler på Internettet, har du 14 dages fortrydelsesret. De 14 dage løber fra det tidspunkt du har fået varen i hånden. Dette gælder dog ikke for medicin. Jf. Forbrugeraftaleloven § 18, stk. 2., nr. 4 og 5 er der ikke fortrydelsesret ved køb af lægemidler. Dvs. at recept- og håndkøbsmedicin ikke kan returneres.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""""},{""url"":""https://laegemiddelstyrelsen.dk/da/apoteker/koeb-og-salg-af-medicin-paa-internettet/detailforhandlere-der-lovligt-saelger-medicin-paa-nettet/"",""type"":""link"",""children"":[{""type"":""text"",""value"":""Klik her for at se, om dette websted drives på lovlig vis. ""}]},{""type"":""text"",""value"":""""}]}]}"
Kodimagnyl;Orifarm Healthcare;Lægemiddel;10;;tabletter;;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""OBS 18 år""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Kodimagnyl tabletter 500 mg / 9,6 mg 10 stk.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Dosering:"",""bold"":true},{""type"":""text"",""value"":""\nVoksne: Sædvanligvis 1-2 tabletter højst 4 gange i døgnet. Kodimagnyl Ikke-stoppende bør ikke anvendes til børn under 15 år.\n\n""},{""type"":""text"",""value"":""Graviditet og amning:"",""bold"":true},{""type"":""text"",""value"":""\nBør kun anvendes efter aftale med lægen.\n""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Mulige bivirkninger:"",""bold"":true},{""type"":""text"",""value"":""\nMeget almindelige (over 10%): Halsbrand, sure opstød, mavesmerter, tendens til blødninger.\n\nAlmindelige (1-10%): Kvalme, opkastning, blødning i mave-tarmkanalen, diarré, forstoppelse, muskelsammentrækninger i luftrørene, hovedpine, søvnløshed, nældefeber, allergisk hævelse i ansigtet, mundhulen og strubehovedet.\n\nIkke almindelige (0,1-1%): Svimmelhed, øget svedtendens, alvorlig allergisk tilstand med hurtigt blodtryksfald, åndedrætsbesvær og evt. kramper (anafylaktisk chok), øresusen (tinnitus). Øresusen (tinnitus) eller hørenedsættelse kan være et tidligt tegn på forgiftning.\n\n""},{""type"":""text"",""value"":""Samtidig anvendelse af andre lægemidler:"",""bold"":true},{""type"":""text"",""value"":""\nDet er vigtigt at informere lægen om alle de lægemidler, man tager. Sovemidler og beroligende midler kan øge Kodimagnyl´s sløvende og åndedrætshæmmende virkning. Kodimagnyl kan nedsætte virkningen af probenecid (middel mod urinsyregigt). Kodimagnyl kan øge virkningen af methotrexat (middel mod leddegigt) og dipyridamol (middel mod blodpropper). Kodimagnyl må kun tages med forsigtighed sammen med binyrebarkhormon. Kodimagnyl må ikke tages, hvis man er i behandling med blodfortyndende midler og ikke i de første 3 måneder af en behandling med allopurinol (middel mod urinsyregigt). Magnesium kan nedsætte virkningen af antibiotika (fluorquinoloner og tetracycliner), svampemidler (itraconazol og ketoconazol), digoxin og sotalol (hjertemidler), estramustin (celledræbende middel), etidronat (middel mod knogleskørhed) og penicillamin (gigtmiddel). Magnesium kan desuden nedsætte optagelsen af jern, og der bør derfor gå mindst 2 timer mellem indtagelsen af jerntabletter og Magnesium. Samtidig brug af magnesiumholdige lægemidler og ibuprofen (middel mod gigt og smerter) øger risikoen for mavesmerter og irritation af maveslimhinden. Magnesium forlænger virkningen af de muskelafslappende midler, der anvendes under fuld narkose.\n\n""},{""type"":""text"",""value"":""OBS"",""bold"":true},{""type"":""text"",""value"":""\nMå ikke anvendes til børn uden lægens anvisning. Bør ikke anvendes ved overfølsomhed over for acetylsalicylsyre eller andre NSAID. Må desuden ikke anvendes ved mavesår, frisk maveblødning eller ved en generel tendens til blødning.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""\n""},{""type"":""text"",""value"":""Indholdsstoffer:"",""bold"":true},{""type"":""text"",""value"":""\nAktive indholdsstoffer: Acetylsalicylsyre, codein og magnesiumoxid. Øvrige indholdsstoffer: Hypromellose (E464), kartoffelstivelse, magnesiumstearat (E470b), majsstivelse, mikrokrystallinsk cellulose (E460), propylenglycol (1520) og talkum. Før brug bør du læse brugsvejledningen, som er i pakningen. Alternativt kan du finde den på ""},{""type"":""link"",""url"":""http://xnet.dkma.dk/indlaegsseddel/PdfFileServlet?formulationid=699&lang=da"",""title"":null,""target"":""_blank"",""children"":[{""type"":""text"",""value"":""indlægsseddel.dk""}]},{""type"":""text"",""value"":"". Er du i tvivl, kontakt egen læge.\n\n""},{""type"":""text"",""value"":""Ingen fortrydelsesret på lægemidler:"",""bold"":true},{""type"":""text"",""value"":""\nNår du handler på Internettet, har du 14 dages fortrydelsesret. De 14 dage løber fra det tidspunkt du har fået varen i hånden. Dette gælder dog ikke for medicin. Jf. Forbrugeraftaleloven § 18, stk. 2., nr. 4 og 5 er der ikke fortrydelsesret ved køb af lægemidler. Dvs. at recept- og håndkøbsmedicin ikke kan returneres.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""""},{""url"":""https://laegemiddelstyrelsen.dk/da/apoteker/koeb-og-salg-af-medicin-paa-internettet/detailforhandlere-der-lovligt-saelger-medicin-paa-nettet/"",""type"":""link"",""children"":[{""type"":""text"",""value"":""Klik her for at se, om dette websted drives på lovlig vis. ""}]},{""type"":""text"",""value"":""""}]}]}"
Wellvita Huskebox;Wellvita;Tilbehør;;;;;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Med Wellvita Huskebox husker du at tage dine piller, så du opnår den ønskede effekt.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Når man glemmer at tage sine piller, opnår man ikke den ønskede effekt. Store studier viser, at rigtigt mange ganske enkelt glemmer at tage deres piller.\n\nDet kan være, fordi man skal tage dem 3 gange om dagen. Men mange glemmer også pillerne, selv om man kun skal tage dem om morgenen eller om aftenen.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Huskeboxen har en indbygget timer, som du nemt kan indstille til at bippe på den tid, du ønsker.  \nPå bagsiden af huskeboxen er der en vejledning til, hvordan du bruger boxen og dens tre knapper.\n\nBoxens låg kan skubbes til side, så der kan opbevares piller i den.\nBatteri medfølger. ""}]}]}"
Balancid Novum;Viatris;Lægemiddel;;;tyggetabletter;;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Sådan skal du anvende Balancid Novum® tyggetabletter\n"",""bold"":true},{""type"":""text"",""value"":""Voksne. Sædvanligvis 1-2 tyggetabletter efter behov. Tabletterne skal tygges grundigt.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Graviditet og amning\n"",""bold"":true},{""type"":""text"",""value"":""Kan anvendes.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Mulige bivirkninger\n"",""bold"":true},{""type"":""text"",""value"":""Almindelige bivirkninger (forekommer hos mellem 1 og 10 ud af 100 patienter): Forstoppelse, diarré. Ved meget store doser gennem lang tid kan der i sjældne tilfælde forekomme kvalme og træthed på grund af forstyrrelser i calciumstofskiftet.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Samtidig anvendelse af andre lægemidler\n"",""bold"":true},{""type"":""text"",""value"":""Balancid Novum® kan nedsætte virkningen af antibiotika (ciprofloxacin, ofloxacin og tetracyclin), svampemidler (itraconazol og ketoconazol), penicillamin (gigtmiddel), digoxin (hjertemiddel), estramustin (celledræbende middel), etidronat (middel mod knogleskørhed), levothyroxin (kunstigt stofskiftehormon), sotalol (middel mod hjerterytmeforstyrrelser) og disulfiram (Antabus®). Amilorid (vanddrivende middel) øger virkningen af Balancid Novum®. Balancid Novum® kan forlænge virkningen af cisatracur (muskelafslappende middel). Balancid Novum® kan desuden nedsætte optagelsen af jern, og der bør derfor gå mindst 1½ time mellem indtagelsen af jerntabletter og Balancid Novum®.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""OBS\n"",""bold"":true},{""type"":""text"",""value"":""Bør ikke anvendes uden lægeordination ved dårligt fungerende nyrer, da der er risiko for magnesiumforgiftning. Balancid Novum® kan skjule symptomer på indre blødning (mavesmerter) som følge af behandling med smertestillende midler som fx ibuprofen (NSAID), og du skal derfor være forsigtig ved at anvende Balancid Novum® samtidig med smertestillende lægemidler. Før brug bør du læse brugsvejledningen, som er i pakningen. Alternativt kan du finde den på ""},{""type"":""link"",""url"":""https://www.indlaegssedler.dk/resource/Pdf/Indlaegsseddel/d46bd28a-f3c5-4f5b-978c-b8c63593d274"",""title"":""www.indlaegssedler.dk"",""target"":""_blank"",""children"":[{""type"":""text"",""value"":""www.indlaegssedler.dk""}]},{""type"":""text"",""value"":"". Er du i tvivl, kontakt egen læge.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Ingen fortrydelsesret på lægemidler\n"",""bold"":true},{""type"":""text"",""value"":""Når du handler på Internettet, har du 14 dages fortrydelsesret. De 14 dage løber fra det tidspunkt du har fået varen i hånden. Dette gælder dog ikke for medicin. Jf. Forbrugeraftaleloven § 18, stk. 2., nr. 4 og 5 er der ikke fortrydelsesret ved køb af lægemidler. Dvs. at recept- og håndkøbsmedicin ikke kan returneres.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""""},{""url"":""https://laegemiddelstyrelsen.dk/da/apoteker/koeb-og-salg-af-medicin-paa-internettet/detailforhandlere-der-lovligt-saelger-medicin-paa-nettet/"",""target"":""_blank"",""type"":""link"",""children"":[{""type"":""text"",""value"":""Klik her for at se, om dette websted drives på lovlig vis. ""}]},{""type"":""text"",""value"":""""}]}]}"
Strepsils;Reckitt Benckiser Healthcare (Scandinavia) A/S;Lægemiddel;24;;tabletter;;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Strepsils er en desinficerende sugetablet til mund og svælg. De aktive lægemiddelstoffer er Amylmetacresol og Dichlorbenzylalkohol.\n\n""},{""type"":""text"",""value"":""Anvendelse og virkning"",""bold"":true},{""type"":""text"",""value"":""\nStrepsils anvendes mod øm og irriteret hals og svælg. Strepsils har en svagt bakteriedræbende effekt.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Dosering:"",""bold"":true},{""type"":""text"",""value"":""\nVoksne og børn over 6 år: Sædvanligvis 1 sugetablet hver 2.-3. time.\n\n""},{""type"":""text"",""value"":""Bemærk:"",""italic"":true,""bold"":true},{""type"":""text"",""value"":""\n""},{""type"":""text"",""value"":""Bør kun gives under opsyn af en voksen til børn fra 6-11 år. Bør ikke anvendes til børn under 6 år.\n"",""bold"":true,""italic"":true},{""type"":""text"",""value"":""\n""},{""type"":""text"",""value"":""Graviditet og amning"",""bold"":true},{""type"":""text"",""value"":""\nStrepsils kan anvendes under graviditet og amning, hvis dette er nødvendigt.\n\n""},{""type"":""text"",""value"":""Bivirkninger"",""bold"":true},{""type"":""text"",""value"":""\nDer opleves sjældent bivirkninger ved brug af Strepsils. Ved længerevarende anvendelse er der risiko for huller i tænderne - dette gælder kun de sukkerholdige sugetabletter. Læs mere om bivirkninger i indlægssedlen nedenfor.\n\n""},{""type"":""text"",""value"":""Forholdsregler"",""bold"":true},{""type"":""text"",""value"":""\nDe sukkerholdige sugetabletter bør ikke anvendes, hvis man lider af glucose-galactosemalabsorption (manglende evne til at optage sukkerstofferne glucose og galactose fra tarmen).\n\nIndhold: 24 sugetabletter.\n\n""},{""type"":""text"",""value"":""Læs mere på indlægssedlen"",""bold"":true},{""type"":""text"",""value"":""\nVi opfordrer til, at du læser indlægssedlen, som følger med produktet. ""},{""type"":""link"",""url"":""https://www.indlaegssedler.dk/resource/Pdf/Indlaegsseddel/bad08782-7b2f-4f39-8e26-efbbc9a68e4a"",""title"":""indlaegssedler.dk"",""target"":null,""children"":[{""type"":""text"",""value"":""Indlægssedlen kan læses her.""}]},{""type"":""text"",""value"":""\n\n""},{""type"":""text"",""value"":""Ingen fortrydelsesret på lægemidler"",""bold"":true},{""type"":""text"",""value"":""\nNår du handler på Internettet, har du 14 dages fortrydelsesret. De 14 dage løber fra det tidspunkt du har fået varen i hånden. Dette gælder dog ikke for medicin. Jf. Forbrugeraftaleloven § 18, stk. 2., nr. 4 og 5 er der ikke fortrydelsesret ved køb af lægemidler. Dvs. at recept- og håndkøbsmedicin ikke kan returneres.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""""},{""url"":""https://laegemiddelstyrelsen.dk/da/apoteker/koeb-og-salg-af-medicin-paa-internettet/detailforhandlere-der-lovligt-saelger-medicin-paa-nettet/"",""type"":""link"",""children"":[{""type"":""text"",""value"":""Klik her for at se, om dette websted drives på lovlig vis. ""}]},{""type"":""text"",""value"":""""}]}]}"
Siff Dry Skin;Wellvita;Kosttilskud;60;60;kapsler;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Vitamin A bidrager til at vedligeholde normale slimhinder. Indeholder også hørfrøolie, der har et højt indhold af alfalinolensyre (ALA) - en flerumættet omega-3-fedtsyre.""}]}]}"
Hydrolet;Wellvita;Kosttilskud;90;30;tabletter;1;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Agerpadderokke støtter nyrernes evne til at udskille væske og dermed affaldsstoffer. Glat burre og hibiscus fremmer udskillelsen af væske via nyrerne og hibiscus medvirker til urinvejenes normale funktion. Hibiscus bidrager derudover til kredsløbet i de små blodkar og kan hjælpe til at mindske følelsen af tunge ben. Kalium bidrager til at vedligeholde et normalt blodtryk. Mælkebøtte hjælper til at bevare en normal vandladning. Majssilke bidrager til at støtte udskillelsen fra urinvejene. Hibiscus hjælper med at styrke kroppen, fremmer den mentale og fysiske kapacitet og kan hjælpe med at få mere energi.""}]}]}"
Berryflow;Wellvita;Kosttilskud;120;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Hibiscus medvirker til urinvejenes normale funktion og kan bruges til at forbedre nyrens udskillelse af væske. Hibiscus kan hjælpe med at styrke kroppen. Vitamin C bidrager til immunsystemets normale funktion. Indeholder også ekstrakt af tranebær.\n""}]}]}"
Energo Plus;Wellvita;Kosttilskud;120;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Energo Plus er baseret på schisandra, som medvirker til mentalt og fysisk velvære samt stresshåndtering, og russisk rod der bidrager til optimal mental og kognitiv funktion. Indeholder maté, der virker opkvikkende ved træthed og stress, og vitamin B12 i Energo plus bidrager til at mindske træthed og udmattelse.""}]}]}"
Magnesium Citrat;Wellvita;Kosttilskud;120;60;kapsler;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Magnesium er et vigtigt mineral, der understøtter flere funktioner i kroppen. Det hjælper med at mindske træthed og udmattelse, bidrager til en normal muskelfunktion og understøtter et normalt energistofskifte. Derudover spiller magnesium en rolle i at opretholde elektrolytbalancen, hvilket er vigtigt for kroppens væskeregulering.  Et ideelt supplement til en sund og aktiv livsstil.""}]}]}"
Kalk;Wellvita;Kosttilskud;120;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Et dagligt tilskud med calcium, magnesium og D3-vitamin, der bidrager til en stærk krop. Calcium er nødvendigt for vedligeholdelse af normale knogler og tænder samt en sund muskelfunktion. Magnesium støtter nervesystemets normale funktion, og D3-vitamin hjælper med optagelsen af calcium. Perfekt til dig, der ønsker at passe på knogler, muskler og nervesystem i hverdagen.""}]}]}"
C Vitamin;Wellvita;Vitaminer;60;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""C Vitamin er et essentielt vitamin, der bidrager til en lang række vigtige funktioner i kroppen. Det understøtter immunsystemets normale funktion og spiller en central rolle i dannelsen af kollagen, som er vigtig for hud, knogler, blodkar, tænder og brusk. Derudover hjælper det med at beskytte cellerne mod oxidativt stress, fremmer optagelsen af jern og bidrager til at mindske træthed og udmattelse. C vitamin understøtter også nervesystemet, energistofskiftet og en normal psykologisk funktion. ""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Med et dagligt tilskud sikrer du, at din krop får den nødvendige støtte til at fungere optimalt.""}]}]}"
Ingefær;Wellvita;Kosttilskud;180;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Ingefær er kendt for sine naturlige egenskaber og understøtter en normal fordøjelsesfunktion. Derudover hjælper ingefær med at bevare leddenes bevægelighed og kan afhjælpe stivhed i kroppens led. Vores kosttilskud indeholder ekstrakt af ingefærrodstok, der har været anvendt i århundreder for sine gavnlige virkninger. ""}]}]}"
Mega B Complex;Wellvita;Vitaminer;60;60;kapsler;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Mega B-kompleks er et kosttilskud, der indeholder alle de vigtige B-vitaminer. Disse vitaminer spiller en afgørende rolle i mange af kroppens funktioner og kan hjælpe dig med at opretholde et godt helbred.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Fordele ved Mega B-kompleks:""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Energiomsætning: "",""bold"":true},{""type"":""text"",""value"":""Vitamin B1, B2, B3, B5, B6, B7, B9 og B12 samt vitamin C bidrager til et normalt energistofskifte, hvilket hjælper din krop med at omdanne mad til energi.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Nervesystemets funktion:"",""bold"":true},{""type"":""text"",""value"":"" Vitamin B1, B2 og B3 bidrager til nervesystemets normale funktion, hvilket er vigtigt for en velfungerende hjerne og krop.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Træthed og udmattelse:"",""bold"":true},{""type"":""text"",""value"":"" Vitamin B12 og vitamin C bidrager til at mindske træthed og udmattelse, så du kan føle dig mere energisk i hverdagen.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Mental ydeevne:"",""bold"":true},{""type"":""text"",""value"":"" Vitamin B5 bidrager til en normal mental ydeevne, hvilket kan hjælpe dig med at holde fokus og koncentrere dig.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Psykologisk funktion: "",""bold"":true},{""type"":""text"",""value"":""Vitamin B1, B3, B6, B7, B9 og B12 bidrager til en normal psykologisk funktion, hvilket er vigtigt for dit humør og velvære.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Immunsystemets funktion: "",""bold"":true},{""type"":""text"",""value"":""Vitamin B6, B9 og B12 samt C vitamin bidrager til immunsystemets normale funktion, hvilket hjælper din krop med at bekæmpe infektioner.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Hormonregulering: "",""bold"":true},{""type"":""text"",""value"":""Vitamin B6 bidrager til at regulere hormonaktiviteten.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Hud, slimhinder og hår: "",""bold"":true},{""type"":""text"",""value"":""Vitamin B2, B3 og B7 bidrager til at vedligeholde en normal hud og normale slimhinder, mens vitamin B7 bidrager til at vedligeholde et normalt hår.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Hjertefunktion: "",""bold"":true},{""type"":""text"",""value"":""Vitamin B1 bidrager til en normal hjertefunktion.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Syn: "",""bold"":true},{""type"":""text"",""value"":""Vitamin B2 bidrager til at vedligeholde et normalt syn.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Kollagendannelse: "",""bold"":true},{""type"":""text"",""value"":""C-vitamin bidrager til normal dannelse af kollagen, der har betydning for normalt fungerende blodkar, knogler, brusk, tandkød, hud og1 tænder. ""}]}]}"
Silica;Wellvita;Kosttilskud;180;60;tabletter;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Silica + Zink er udviklet til dig, der ønsker at styrke hår, hud og negle. Agerpadderokke indeholder naturligt silicium og kan fremme hårvækst, mens zink og C-vitamin bidrager til at vedligeholde en normal hud. Derudover understøtter zink sunde og stærke negle. Indeholder også buletang og tørgær, som tilfører næring til kroppen. ""}]}]}"
Mælkesyrebakterier;Wellvita;Kosttilskud;60;60;kapsler;2;"{""type"":""root"",""children"":[{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""Mælkesyrebakterier er små, levende organismer, der findes naturligt i bakteriefloraen i vores tarme. De er en type probiotika, hvilket betyder, at de er gavnlige for vores helbred, når vi indtager dem i tilstrækkelige mængder.""}]},{""type"":""paragraph"",""children"":[{""type"":""text"",""value"":""1 kapsel Wellvita Mælkesyrebakterier indeholder 2 milliarder levende mælkesyrebakterier. ""}]}]}"
